car_id	y	x	orient	size	BSIZE
1	5	2	2	2	12
2	0	0	1	2	
3	0	6	1	2	
4	0	7	2	3	
5	0	10	2	2	
6	1	5	1	2	
7	1	10	1	2	
8	1	11	1	2	
9	2	0	2	3	
10	2	3	2	2	
11	2	6	1	3	
12	2	7	2	2	
13	3	0	1	3	
14	3	1	1	3	
15	3	5	1	2	
16	3	7	2	2	
17	3	9	2	2	
18	4	2	2	3	
19	4	7	2	3	
20	5	4	1	2	
21	5	5	1	2	
22	6	0	2	3	
23	6	3	1	2	
24	6	6	1	3	
25	6	7	1	2	
26	6	9	1	2	
27	6	10	2	2	
28	7	0	2	3	
29	7	4	2	2	
30	7	10	2	2	
31	8	0	2	2	
32	8	2	1	2	
33	8	3	2	3	
34	8	7	2	3	
35	8	11	1	2	
36	9	3	2	3	
37	9	6	1	3	
38	9	8	2	2	
39	9	10	1	3	
40	10	9	1	2	
41	10	11	1	2	
42	11	1	2	2	
43	11	3	2	3	
44	11	7	2	2	
